CustomerID,Age,Gender,City,Education,IncomeBracket,AnnualSpend,MembershipTier,TenureMonths,TotalOrders
C1000,52,Other,Hyderabad,Bachelor's,50k-100k,17152.26,Silver,5,6
C1001,30,Female,Delhi,Master's,100k-200k,30274.28,Basic,39,9
C1002,45,Female,Delhi,Bachelor's,50k-100k,16032.76,Basic,28,6
C1003,18,Male,Hyderabad,Bachelor's,<25k,3731.09,Silver,13,1
C1004,36,Female,Ahmedabad,Master's,200k+,57617.21,Silver,9,19
C1005,30,Male,Chennai,Master's,50k-100k,24672.92,Basic,55,5
C1006,30,Male,Pune,Master's,25k-50k,1534.08,Gold,47,1
C1007,50,Female,Delhi,Bachelor's,25k-50k,4296.4,Basic,55,2
C1008,27,Male,Kolkata,Bachelor's,50k-100k,26259.73,Gold,58,7
C1009,41,Male,Kolkata,Bachelor's,100k-200k,32393.05,Silver,15,8
C1010,31,Female,Kolkata,High School,<25k,3950.35,Silver,56,1
C1011,40,Male,Hyderabad,Master's,100k-200k,38762.44,Silver,49,9
C1012,33,Female,Kolkata,Bachelor's,100k-200k,25172.22,Basic,4,7
C1013,23,Female,Hyderabad,Master's,100k-200k,39195.64,Basic,53,10
C1014,46,Female,Mumbai,Master's,200k+,62406.42,Basic,13,21
C1015,40,Male,Mumbai,High School,25k-50k,5849.85,Silver,15,4
C1016,22,Female,Mumbai,Master's,25k-50k,2378.9,Basic,46,2
C1017,18,Female,Pune,Bachelor's,25k-50k,3390.59,Basic,16,1
C1018,31,Female,Kolkata,High School,50k-100k,10662.27,Gold,2,1
C1019,45,Female,Pune,Bachelor's,50k-100k,18218.72,Silver,58,5
C1020,25,Male,Kolkata,Bachelor's,100k-200k,38151.2,Basic,16,8
C1021,42,Female,Hyderabad,High School,25k-50k,9421.72,Gold,41,2
C1022,23,Male,Chennai,PhD,100k-200k,33940.19,Platinum,51,3
C1023,38,Male,Hyderabad,Master's,100k-200k,47299.63,Basic,23,14
C1024,32,Female,Kolkata,Bachelor's,<25k,1973.97,Gold,57,1
C1025,50,Male,Hyderabad,Master's,100k-200k,26406.66,Basic,1,2
C1026,23,Male,Ahmedabad,Bachelor's,50k-100k,24721.07,Basic,30,10
C1027,42,Female,Bangalore,Bachelor's,100k-200k,28809.26,Basic,56,7
C1028,18,Male,Bangalore,Bachelor's,25k-50k,9825.58,Basic,56,3
C1029,33,Female,Ahmedabad,PhD,50k-100k,19679.01,Gold,5,6
C1030,18,Male,Ahmedabad,High School,25k-50k,6430.31,Silver,39,7
C1031,20,Male,Bangalore,Master's,25k-50k,7315.4,Gold,35,1
C1032,40,Female,Bangalore,Bachelor's,50k-100k,15820.72,Basic,48,4
C1033,27,Male,Bangalore,PhD,<25k,3347.71,Platinum,7,1
C1034,38,Female,Bangalore,Master's,50k-100k,32248.11,Basic,27,9
C1035,55,Male,Delhi,Bachelor's,100k-200k,36560.97,Gold,38,8
C1036,18,Female,Pune,Bachelor's,25k-50k,7959.61,Silver,37,2
C1037,20,Male,Hyderabad,Bachelor's,50k-100k,21696.4,Silver,32,3
C1038,41,Female,Bangalore,High School,50k-100k,9321.05,Basic,33,2
C1039,44,Male,Bangalore,Bachelor's,100k-200k,58898.3,Platinum,19,15
C1040,33,Female,Delhi,Master's,50k-100k,23365.13,Gold,15,11
C1041,48,Female,Pune,High School,25k-50k,7264.44,Gold,12,1
C1042,37,Male,Mumbai,Bachelor's,25k-50k,6390.52,Basic,3,2
C1043,23,Female,Mumbai,Bachelor's,50k-100k,16172.29,Gold,38,5
C1044,42,Male,Hyderabad,High School,50k-100k,24087.22,Platinum,50,7
C1045,23,Female,Bangalore,Master's,100k-200k,29667.09,Platinum,10,5
C1046,43,Female,Chennai,High School,100k-200k,22616.25,Gold,19,6
C1047,43,Female,Bangalore,PhD,25k-50k,9498.45,Silver,32,1
C1048,27,Male,Kolkata,Bachelor's,50k-100k,16042.08,Gold,58,2
C1049,18,Male,Bangalore,High School,25k-50k,6929.8,Gold,50,1
C1050,19,Female,Kolkata,Master's,50k-100k,16177.55,Silver,30,4
C1051,25,Male,Pune,Master's,50k-100k,9999.02,Gold,3,2
C1052,19,Female,Pune,Master's,100k-200k,40563.89,Basic,23,16
C1053,36,Male,Mumbai,High School,25k-50k,9112.63,Silver,46,2
C1054,34,Male,Kolkata,High School,50k-100k,20400.55,Basic,57,3
C1055,32,Male,Hyderabad,Bachelor's,25k-50k,5303.63,Platinum,44,1
C1056,35,Male,Pune,Master's,50k-100k,32801.19,Platinum,11,7
C1057,51,Female,Mumbai,Bachelor's,200k+,76176.76,Basic,47,20
C1058,23,Female,Ahmedabad,Bachelor's,50k-100k,14187.75,Basic,17,5
C1059,18,Male,Bangalore,High School,100k-200k,46317.65,Silver,42,13
C1060,59,Male,Mumbai,Master's,100k-200k,47600.23,Basic,44,18
C1061,54,Other,Ahmedabad,Bachelor's,100k-200k,20457.43,Platinum,36,6
C1062,24,Male,Kolkata,Master's,100k-200k,31441.5,Gold,6,9
C1063,18,Female,Kolkata,Bachelor's,50k-100k,17917.44,Basic,48,4
C1064,25,Male,Mumbai,High School,50k-100k,21815.39,Silver,7,7
C1065,27,Male,Pune,Bachelor's,25k-50k,12275.15,Platinum,47,2
C1066,39,Female,Delhi,Bachelor's,50k-100k,23365.5,Silver,45,5
C1067,37,Female,Kolkata,Bachelor's,25k-50k,10508.38,Silver,8,2
C1068,21,Female,Pune,High School,<25k,3903.2,Gold,23,2
C1069,40,Male,Delhi,Bachelor's,200k+,54299.33,Basic,2,21
C1070,35,Male,Delhi,Master's,<25k,2631.55,Basic,51,1
C1071,48,Female,Delhi,Bachelor's,200k+,52843.32,Platinum,56,10
C1072,42,Male,Hyderabad,Bachelor's,50k-100k,16765.36,Basic,48,5
C1073,52,Male,Mumbai,High School,50k-100k,19098.72,Platinum,49,4
C1074,28,Female,Delhi,Master's,200k+,67722.71,Basic,29,13
C1075,41,Female,Chennai,Master's,100k-200k,33310.37,Platinum,58,5
C1076,35,Male,Kolkata,Bachelor's,25k-50k,8128.22,Basic,58,1
C1077,24,Other,Mumbai,Master's,<25k,3284.51,Gold,16,2
C1078,37,Male,Mumbai,Bachelor's,50k-100k,21490.4,Gold,24,8
C1079,34,Female,Ahmedabad,Bachelor's,50k-100k,22625.38,Basic,28,8
C1080,29,Other,Delhi,Bachelor's,25k-50k,7411.52,Basic,42,2
C1081,39,Female,Kolkata,PhD,100k-200k,41869.32,Platinum,51,7
C1082,34,Male,Hyderabad,Master's,200k+,92670.49,Basic,29,19
C1083,39,Female,Mumbai,Bachelor's,50k-100k,6920.71,Silver,51,2
C1084,18,Other,Ahmedabad,Bachelor's,<25k,3103.97,Basic,20,1
C1085,33,Male,Mumbai,High School,50k-100k,9853.35,Basic,4,1
C1086,23,Female,Bangalore,High School,25k-50k,10784.09,Basic,51,2
C1087,40,Male,Mumbai,PhD,200k+,92715.62,Silver,42,24
C1088,29,Female,Delhi,High School,25k-50k,4323.6,Silver,1,1
C1089,21,Male,Pune,Master's,50k-100k,20679.87,Basic,55,9
C1090,32,Male,Mumbai,Bachelor's,100k-200k,34123.78,Gold,18,8
C1091,33,Female,Delhi,High School,50k-100k,19346.99,Silver,22,4
C1092,35,Male,Chennai,Master's,200k+,79219.51,Silver,41,17
C1093,45,Male,Delhi,High School,25k-50k,7194.84,Basic,50,2
C1094,54,Female,Delhi,Master's,200k+,68946.93,Gold,36,23
C1095,38,Male,Ahmedabad,PhD,50k-100k,15572.47,Gold,53,5
C1096,45,Male,Kolkata,High School,100k-200k,39704.52,Silver,26,7
C1097,20,Female,Delhi,Bachelor's,<25k,4364.79,Silver,38,1
C1098,28,Male,Delhi,Master's,100k-200k,46920.83,Basic,56,6
C1099,34,Female,Hyderabad,High School,100k-200k,33568.02,Platinum,52,6
C1100,45,Male,Bangalore,Bachelor's,50k-100k,25040.4,Basic,19,9
C1101,43,Female,Chennai,Bachelor's,25k-50k,8667.01,Gold,40,3
C1102,29,Female,Kolkata,High School,50k-100k,9525.65,Gold,34,1
C1103,55,Male,Delhi,High School,<25k,2750.76,Basic,25,2
C1104,37,Male,Bangalore,Master's,25k-50k,5640.62,Silver,2,1
C1105,33,Male,Hyderabad,Bachelor's,<25k,2169.16,Silver,35,1
C1106,26,Male,Chennai,Master's,100k-200k,53746.7,Gold,19,14
C1107,27,Female,Kolkata,Bachelor's,25k-50k,7823.77,Gold,50,1
C1108,36,Male,Pune,Bachelor's,200k+,38858.06,Basic,24,5
C1109,18,Female,Mumbai,Master's,100k-200k,10392.63,Basic,46,1
C1110,31,Female,Ahmedabad,High School,<25k,2344.07,Gold,50,1
C1111,54,Female,Hyderabad,Master's,50k-100k,13768.75,Silver,5,1
C1112,23,Female,Mumbai,Bachelor's,50k-100k,13112.14,Basic,4,4
C1113,37,Female,Bangalore,High School,50k-100k,13585.2,Silver,3,7
C1114,33,Female,Delhi,Master's,25k-50k,11320.09,Basic,13,4
C1115,45,Female,Pune,Master's,200k+,77743.56,Silver,22,14
C1116,18,Male,Mumbai,High School,50k-100k,14290.32,Silver,21,3
C1117,18,Male,Mumbai,Master's,50k-100k,29778.7,Gold,1,10
C1118,43,Male,Delhi,Bachelor's,200k+,73688.69,Gold,58,14
C1119,20,Other,Chennai,Bachelor's,<25k,2678.83,Basic,21,1
C1120,34,Female,Bangalore,High School,25k-50k,6153.77,Gold,39,1
C1121,34,Female,Kolkata,Bachelor's,25k-50k,7859.84,Gold,7,2
C1122,50,Male,Kolkata,Master's,200k+,54405.62,Basic,49,21
C1123,19,Female,Ahmedabad,Bachelor's,<25k,2131.23,Basic,55,1
C1124,37,Female,Chennai,High School,<25k,3346.5,Gold,50,1
C1125,18,Female,Delhi,Bachelor's,25k-50k,11521.84,Silver,57,1
C1126,29,Male,Kolkata,PhD,200k+,25770.96,Silver,7,4
C1127,29,Female,Pune,Master's,50k-100k,14267.55,Basic,24,2
C1128,28,Male,Delhi,Bachelor's,50k-100k,22265.43,Platinum,19,4
C1129,35,Male,Ahmedabad,Bachelor's,100k-200k,35344.42,Gold,54,11
C1130,30,Female,Bangalore,Master's,25k-50k,3108.51,Gold,17,3
C1131,35,Female,Delhi,Master's,25k-50k,9440.94,Gold,48,3
C1132,42,Male,Kolkata,Bachelor's,50k-100k,16650.5,Silver,2,3
C1133,32,Male,Ahmedabad,Bachelor's,<25k,2620.93,Basic,45,1
C1134,28,Male,Ahmedabad,High School,100k-200k,48768.88,Basic,33,16
C1135,50,Male,Kolkata,High School,50k-100k,12590.25,Gold,22,6
C1136,54,Male,Delhi,Bachelor's,50k-100k,16548.51,Gold,59,2
C1137,34,Male,Ahmedabad,Bachelor's,50k-100k,9287.99,Basic,33,2
C1138,28,Female,Bangalore,Bachelor's,50k-100k,22727.89,Gold,26,3
C1139,25,Male,Bangalore,High School,25k-50k,3621.97,Basic,6,1
C1140,32,Male,Pune,Master's,100k-200k,41830.24,Silver,42,15
C1141,37,Female,Delhi,PhD,25k-50k,11296.42,Basic,30,3
C1142,40,Female,Bangalore,Master's,100k-200k,48888.95,Silver,5,11
C1143,18,Female,Ahmedabad,Bachelor's,<25k,3998.25,Silver,36,1
C1144,42,Male,Mumbai,High School,<25k,3878.1,Gold,47,1
C1145,48,Male,Ahmedabad,Bachelor's,<25k,3131.82,Basic,16,1
C1146,31,Male,Pune,Bachelor's,25k-50k,10779.69,Silver,24,3
C1147,45,Female,Kolkata,Bachelor's,100k-200k,37648.3,Basic,26,7
C1148,37,Male,Hyderabad,Bachelor's,25k-50k,2695.22,Platinum,1,1
C1149,31,Female,Ahmedabad,High School,25k-50k,5924.06,Platinum,27,3
